entry_time,exit_time,entry_price,exit_price,qty,fee_paid,pnl_usdt,return_pct,bars_held
2025-09-16T16:00:00Z,2025-09-19T15:00:00Z,115905.88000000,115899.99000000,0.1213528499,11.25212117,-11.96688946,-0.0850,71
2025-09-24T19:00:00Z,2025-09-25T05:00:00Z,113639.80000000,111735.67000000,0.1236674717,11.14864582,-246.62758867,-1.7542,10
2025-09-28T19:00:00Z,2025-10-07T17:00:00Z,110293.56000000,121684.17000000,0.1251842607,11.61598425,1414.30910775,10.2393,214
2025-10-13T03:00:00Z,2025-10-14T06:00:00Z,115319.98000000,112493.10000000,0.1319872010,12.02736431,-385.13934311,-2.5293,27
2025-10-19T16:00:00Z,2025-10-21T10:00:00Z,108486.71000000,107754.27000000,0.1367520135,11.82855577,-111.99120055,-0.7546,42
2025-10-21T15:00:00Z,2025-10-22T04:00:00Z,112170.52000000,108216.03000000,0.1312629166,11.57143253,-530.64932354,-3.6026,13
2025-10-23T12:00:00Z,2025-10-29T01:00:00Z,109253.88000000,112442.87000000,0.1299120220,11.52042922,402.76770979,2.8366,133
2025-11-01T17:00:00Z,2025-11-03T02:00:00Z,110464.33000000,109665.50000000,0.1321331431,11.63457854,-117.18649728,-0.8025,33
2025-11-08T02:00:00Z,2025-11-08T12:00:00Z,102996.85000000,101857.10000000,0.1405757505,11.51899911,-171.74021073,-1.1857,10
2025-11-09T16:00:00Z,2025-11-11T18:00:00Z,103762.18000000,103338.99000000,0.1378844194,11.42240983,-69.77371728,-0.4875,50
2025-11-23T12:00:00Z,2025-11-26T15:00:00Z,86331.28000000,86899.72000000,0.1649163794,11.42745173,82.31761498,0.5779,75
2025-11-26T17:00:00Z,2025-12-01T01:00:00Z,87820.02000000,87000.00000000,0.1630576585,11.40229725,-145.11283834,-1.0130,104
2025-12-02T18:00:00Z,2025-12-05T12:00:00Z,91458.40000000,91351.44000000,0.1549849113,11.33310673,-27.91029285,-0.1968,66
2025-12-07T21:00:00Z,2025-12-09T06:00:00Z,91439.05000000,89899.35000000,0.1547125968,11.22213391,-249.43311925,-1.7625,33
2025-12-09T16:00:00Z,2025-12-11T04:00:00Z,92707.50000000,89880.00000000,0.1499063128,10.94840755,-434.80850693,-3.1274,36
2025-12-12T02:00:00Z,2025-12-12T19:00:00Z,92170.00000000,90372.00000000,0.1460649326,10.66519397,-273.28994280,-2.0292,17
2025-12-18T15:00:00Z,2025-12-18T20:00:00Z,88345.19000000,84483.80000000,0.1492964605,10.32110259,-586.81296215,-4.4473,5
2025-12-19T10:00:00Z,2025-12-23T06:00:00Z,88105.03000000,87765.01000000,0.1430457017,10.06298131,-58.70138079,-0.4656,92
2025-12-25T16:00:00Z,2025-12-26T02:00:00Z,88371.27000000,87432.26000000,0.1419507486,9.98217707,-143.27534948,-1.1417,10
2025-12-26T03:00:00Z,2025-12-26T20:00:00Z,89200.00000000,87501.83000000,0.1390263438,9.82648375,-245.91684997,-1.9822,17
2025-12-28T11:00:00Z,2025-12-28T21:00:00Z,87856.91000000,87514.75000000,0.1383537316,9.70532943,-57.04444222,-0.4691,10
2025-12-28T23:00:00Z,2025-12-29T20:00:00Z,87900.09000000,87366.23000000,0.1376370571,9.64925620,-83.12817552,-0.6868,21
2025-12-30T16:00:00Z,2025-12-31T21:00:00Z,89016.36000000,87662.01000000,0.1349776016,9.53904905,-192.34596371,-1.6002,29
